3,0.114,4,3,false,100.0,4,0.083
4,0.026,5,4,false,100.0,5,0.018
5,0.247,106,5,false,100.0,106,0.24
6,2.004,1192,6,false,98.0392156862745,61,0.093
7,3.106,2376,7,false,89.85507246376811,288,0.283
8,4.634,3957,8,false,77.77777777777779,2128,1.997
9,3.986,3952,9,false,66.26506024096386,1723,1.133
10,10.322,8926,10,false,70.09345794392523,5171,4.953
11,28.047,14941,11,false,57.66423357664233,3264,2.921
12,37.641,24227,12,false,72.89719626168224,1990,1.301
13,46.055,23985,13,false,53.02013422818792,15130,19.21
14,150.884,52895,14,false,49.62406015037594,18920,24.054
3,0.266,18,3,false,61.111111111111114,6,0.138
3,0.234,19,3,false,61.111111111111114,8,0.164
3,0.26,19,3,false,61.111111111111114,8,0.173
3,0.064,4,3,true,100.0,4,0.051
3,0.217,4,3,true,100.0,4,0.18
3,0.164,4,3,true,100.0,4,0.129
14,150.092,31373,14,false,47.368421052631575,14,0.191
3,0.453,44,3,false,94.11764705882352,6,0.182
4,0.393,99,4,false,66.0377358490566,27,0.155
5,3.637,323,5,false,90.76923076923077,14,0.066
6,2.607,527,6,false,88.23529411764706,46,0.265
7,8.747,1752,7,false,85.5072463768116,52,2.288
8,8.827,2694,8,false,76.76767676767676,19,0.034
9,12.453,3216,9,false,60.24096385542169,23,0.096
10,14.723,5059,10,false,64.48598130841121,57,0.118
11,57.284,13624,11,false,57.66423357664233,54,0.11
12,59.045,16117,12,false,66.35514018691589,22,0.042
13,81.346,19774,13,false,53.02013422818792,8,0.012
14,138.538,31373,14,false,47.368421052631575,14,0.051
5,3.083,323,5,false,90.76923076923077,14,0.23
6,6.485,527,6,false,88.23529411764706,46,0.567
6,6.753,527,6,false,88.23529411764706,46,0.781
3,0.211,4,3,true,100.0,4,0.178
3,0.192,4,3,true,100.0,4,0.159
