3,0.158,21,3,false,100.0,21,0.129
4,0.161,67,4,false,100.0,67,0.154
5,0.222,154,5,false,100.0,154,0.216
6,1.738,1192,6,false,98.0392156862745,607,0.948
7,2.013,2376,7,false,89.85507246376811,1132,1.268
8,3.223,3957,8,false,77.77777777777779,3054,2.675
9,2.395,3952,9,false,66.26506024096386,2966,1.907
10,7.298,8926,10,false,70.09345794392523,4621,4.464
11,18.384,14941,11,false,57.66423357664233,9313,16.27
12,25.462,24227,12,false,72.89719626168224,12501,14.975
13,27.011,23985,13,false,53.02013422818792,19412,25.305
14,106.092,52895,14,false,49.62406015037594,26575,59.085
3,0.041,17,3,true,100.0,17,0.032
