Average Duration,Standard Deviation
23.08957894736842,45.680120487116184
Average Duration,Standard Deviation
21.954749999999997,44.79741773124317
Average Duration,Standard Deviation
21.08247619047619,43.89149748404912
Average Duration,Standard Deviation
20.24268181818182,43.05470209711696
Average Duration,Standard Deviation
19.742869565217394,42.173537559556635
Average Duration,Standard Deviation
19.28804166666667,41.343156720589974
Average Duration,Standard Deviation
19.01464,40.52999267987104
Average Duration,Standard Deviation
18.849576923076924,39.751496076512716
Average Duration,Standard Deviation
20.273074074074074,39.67796806039746
Average Duration,Standard Deviation
21.657785714285716,39.62177672186015
Average Duration,Standard Deviation
23.716,40.4272940943752
Average Duration,Standard Deviation
27.543400000000002,44.77396530991346
Average Duration,Standard Deviation
26.754354838709677,44.25740320614744
Average Duration,Standard Deviation
26.1209375,43.70292384378984
Average Duration,Standard Deviation
25.534030303030306,43.16353943310281
Average Duration,Standard Deviation
24.78923529411765,42.73874220468772
Average Duration,Standard Deviation
24.086457142857146,42.322618229393846
