Average Duration,Standard Deviation
0.0,0.0
Average Duration,Standard Deviation
0.161,0.0
Average Duration,Standard Deviation
0.1915,0.03050000000000001
Average Duration,Standard Deviation
0.707,0.7294523059574674
Average Duration,Standard Deviation
1.0335,0.8478692410979416
Average Duration,Standard Deviation
1.4714,1.158503966328989
Average Duration,Standard Deviation
1.6253333333333335,1.1121691518030075
Average Duration,Standard Deviation
2.435714285714286,2.2361844872962715
Average Duration,Standard Deviation
4.42925,5.674041631632606
Average Duration,Standard Deviation
6.766222222222222,8.5034738493261
Average Duration,Standard Deviation
8.7907,10.097759811463133
Average Duration,Standard Deviation
17.636272727272726,29.582711149007622
