Average Duration,Standard Deviation
0.119,0.0
Average Duration,Standard Deviation
0.07075000000000001,0.038055058796433346
Average Duration,Standard Deviation
0.11499999999999999,0.09481982914981446
Average Duration,Standard Deviation
0.142,0.10553356496079029
Average Duration,Standard Deviation
0.1315714285714286,0.10098918915671425
Average Duration,Standard Deviation
0.141375,0.09796292347107656
Average Duration,Standard Deviation
0.1388888888888889,0.09262762300312943
Average Duration,Standard Deviation
0.23759999999999998,0.30889616378323637
Average Duration,Standard Deviation
0.23118181818181816,0.2952194309267163
Average Duration,Standard Deviation
0.22691666666666666,0.28300484634641077
Average Duration,Standard Deviation
0.2196923076923077,0.2730515264463368
Average Duration,Standard Deviation
0.23664285714285713,0.27012367726729947
Average Duration,Standard Deviation
0.2479333333333333,0.2643614865209295
Average Duration,Standard Deviation
0.252875,0.2566814355869937
Average Duration,Standard Deviation
0.2584705882352941,0.25002143852714587
Average Duration,Standard Deviation
0.27544444444444444,0.25285529946816576
Average Duration,Standard Deviation
0.2698421052631579,0.24725636879837354
Average Duration,Standard Deviation
0.27415,0.2417261415321065
Average Duration,Standard Deviation
0.27714285714285714,0.23627995616868308
Average Duration,Standard Deviation
0.27714285714285714,0.23627995616868308
Average Duration,Standard Deviation
0.27714285714285714,0.23627995616868308
Average Duration,Standard Deviation
0.28063636363636363,0.2314019614622897
Average Duration,Standard Deviation
0.285,0.22723919594540243
Average Duration,Standard Deviation
0.28820833333333334,0.22298616907158655
Average Duration,Standard Deviation
0.28856,0.2184877259710485
Average Duration,Standard Deviation
9.58723076923077,46.4938474716384
Average Duration,Standard Deviation
9.741259259259259,45.63148643417223
